,Method,Folds,Parameters,Eval_test,R2,R2_month
0,"BaggingRegressor(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=1.0,
         n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",5,{'n_estimators': 10},0.056974098121360096,0.9007605731954909,0.9756372352067881
1,"BaggingRegressor(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=1.0,
         n_estimators=10, n_jobs=1, oob_score=True, random_state=None,
         verbose=0, warm_start=False)",5,{'oob_score': True},0.05689894579484288,0.9008919268269031,0.9760606121693536
2,"BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=True,
         max_features=1.0, max_samples=1.0, n_estimators=10, n_jobs=1,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",5,"{'n_estimators': 10, 'bootstrap': True, 'bootstrap_features': True}",0.07024332906770504,0.8726654616341121,0.9621563932239832
3,"BaggingRegressor(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=1.0,
         n_estimators=50, n_jobs=1, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",5,{'n_estimators': 50},0.054677495633982956,0.9097255118345554,0.9777367843888667
4,"BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=True,
         max_features=1.0, max_samples=1.0, n_estimators=10, n_jobs=1,
         oob_score=True, random_state=None, verbose=0, warm_start=False)",5,"{'n_estimators': 10, 'bootstrap': True, 'bootstrap_features': True, 'oob_score': True}",0.07820711815810269,0.8586098426979554,0.9519578419502853
5,"BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=True,
         max_features=1.0, max_samples=1.0, n_estimators=50, n_jobs=1,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",5,"{'n_estimators': 50, 'bootstrap': True, 'bootstrap_features': True}",0.07446473912231026,0.8862016290362782,0.9580393082727612
